timestamp_ms,channel,sample_0,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11
1771936199319,AF8,38.0859,38.5742,25.8789,17.5781,32.7148,48.3398,26.3672,17.0898,28.8086,37.1094,39.0625,14.1602
1771936199319,TP9,36.1328,-5.8594,22.4609,63.4766,34.1797,0.4883,14.1602,73.7305,67.3828,5.3711,7.3242,53.7109
1771936199319,AF7,59.0820,66.8945,45.4102,20.0195,41.0156,59.5703,37.1094,32.2266,48.8281,56.6406,59.5703,38.5742
1771936199362,TP10,64.4531,13.1836,-1.9531,40.0391,83.0078,33.2031,-15.1367,19.0430,67.3828,32.7148,-9.2773,8.7891
1771936199362,AF8,9.2773,34.6680,48.3398,34.1797,24.4141,40.0391,34.1797,22.4609,6.3477,14.1602,38.5742,38.5742
1771936199363,TP9,71.2891,31.7383,8.3008,36.6211,70.3125,47.3633,9.7656,31.2500,79.5898,59.0820,16.6016,21.4844
1771936199363,AF7,33.2031,55.1758,59.0820,42.4805,37.5977,56.1523,52.7344,41.0156,27.8320,41.0156,63.4766,56.1523
1771936199408,TP10,59.5703,48.8281,-13.1836,-6.8359,44.9219,71.2891,17.5781,-19.0430,29.2969,66.8945,13.1836,-21.4844
1771936199408,AF8,17.5781,22.4609,28.8086,23.4375,12.6953,7.8125,29.2969,34.1797,24.4141,18.0664,21.9727,26.8555
1771936199408,TP9,71.2891,65.4297,15.1367,18.0664,57.6172,79.5898,46.8750,15.1367,45.8984,84.9609,36.6211,3.4180
1771936199409,AF7,28.8086,28.3203,45.4102,47.3633,35.6445,36.6211,52.7344,54.1992,46.8750,36.1328,37.1094,39.0625
1771936199452,TP10,3.9063,52.7344,32.7148,-10.7422,10.7422,72.2656,54.6875,-19.5313,-29.2969,28.8086,62.5000,8.3008
1771936199452,AF8,14.6484,16.1133,39.5508,42.4805,33.2031,27.8320,22.4609,19.5313,24.9023,19.5313,20.0195,43.4570
1771936199453,TP9,26.8555,80.0781,68.8477,11.2305,9.7656,68.3594,75.6836,8.7891,0.9766,60.5469,83.0078,34.1797
1771936199453,AF7,21.9727,25.3906,51.2695,62.0117,42.4805,18.5547,24.4141,41.0156,54.1992,46.3867,46.8750,77.6367
1771936199512,TP10,-22.4609,12.6953,46.8750,1.9531,-35.6445,-5.3711,47.3633,21.4844,-27.8320,-22.9492,40.0391,57.1289
